campus_name,campus_location,rating,students,community_type,city,state,lat_long
"University of Maryland, College Park","College Park, MD",5.0,37952,large urban city,College Park, MD,"(38.980666, -76.9369189)"
University of Michigan-Dearborn,"Dearborn, MI",3.0,9000,medium city,Dearborn, MI,"(42.3222599, -83.1763145)"
SUNY Westchester Community College,"Valhalla, NY",4.0,13000,very small town,Valhalla, NY,"(41.0748189, -73.7751326)"
University at Buffalo,"Buffalo, NY",3.5,29850,medium city,Buffalo, NY,"(42.8867166, -78.8783922)"
Slippery Rock University,"Slippery Rock, PA",4.0,8500,rural community,Slippery Rock, PA,"(41.0639506, -80.0564468)"
Emory University,"Atlanta, GA",4.5,14769,large urban city,Atlanta, GA,"(33.7489924, -84.3902644)"
Washington State University,"Pullman, WA",5.0,19446,small town,Pullman, WA,"(46.7304268, -117.173895)"
Davidson College,"Davidson, NC",4.0,1850,small town,Davidson, NC,"(35.7902384, -80.2115053)"
Virginia Commonwealth University,"Richmond, VA",4.5,31500,medium city,Richmond, VA,"(37.5385087, -77.43428)"
Northern Arizona University,"Flagstaff, AZ",4.5,29000,small city,Flagstaff, AZ,"(35.1987522, -111.651822)"
"California State University, Long Beach or Long Beach State","Long Beach, CA",4.5,36846,medium city,Long Beach, CA,"(33.7690164, -118.191604)"
University of La Verne,"La Verne, CA",2.5,8600,small city,La Verne, CA,"(34.1008426, -117.7678355)"
"Rutgers, The State University of New Jersey-New Brunswick","New Brunswick, NJ",5.0,48000,large urban city,New Brunswick, NJ,"(46.500283, -66.750183)"
Gettysburg College,"Gettysburg, PA",4.5,2400,very small town,Gettysburg, PA,"(39.8308973, -77.231012)"
Northern Illinois University,"DeKalb, IL",5.0,16234,small city,DeKalb, IL,"(41.8903447, -88.7713953)"
Trinity College,"Hartford, CT",5.0,2159,medium city,Hartford, CT,"(41.764582, -72.6908547)"
Augsburg University,"Minneapolis, MN",5.0,3537,large urban city,Minneapolis, MN,"(44.9772995, -93.2654692)"
Ithaca College,"Ithaca, NY",5.0,6000,small city,Ithaca, NY,"(42.437417499999995, -76.54837235139263)"
Portland State University,"Portland, OR",5.0,25000,large urban city,Portland, OR,"(45.5202471, -122.674194)"
Northwestern University,"Evanston, IL",4.0,21215,small city,Evanston, IL,"(42.0470043, -87.6846053)"
University of Colorado at Boulder,"Boulder, CO",5.0,30000,small city,Boulder, CO,"(40.0149856, -105.270545)"
Northeastern Illinois University,"Chicago, IL",2.5,10275,large urban city,Chicago, IL,"(41.8755616, -87.6244212)"
Elon University,"Elon, NC",5.0,6500,small town,Elon, NC,"(36.1029132, -79.5066895)"
Bridgewater State University,"Bridgewater, MA",4.5,10000,small city,Bridgewater, MA,"(44.3774134, -64.5193946)"
New Mexico State University,"Las Cruces, NM",4.5,16765,medium city,Las Cruces, NM,"(32.3140354, -106.779807)"
University of Richmond,"Richmond, VA",4.5,3890,medium city,Richmond, VA,"(37.5385087, -77.43428)"
Tufts University,"Medford, MA",5.0,11926,small city,Medford, MA,"(42.4184296, -71.1061639)"
University of Nebraska at Omaha,"Omaha, NE",4.5,15500,large urban city,Omaha, NE,"(41.2587459, -95.9383758)"
Youngstown State University,"youngstown, OH",3.0,11171,medium city,youngstown, OH,"(41.1035786, -80.6520161)"
"University of Massachusetts, Amherst","Amherst, MA",5.0,28500,small town,Amherst, MA,"(37.5997548, -79.1483701)"
West Virginia University,"Morgantown, WV",4.5,34000,small city,Morgantown, WV,"(39.6296809, -79.9559437)"
Virginia State University,"Virginia State University, VA",4.0,3400,small town,Virginia State University, VA,"(37.2383399, -77.41950354459487)"
Kansas State University,"Manhattan, KS",5.0,20000,small city,Manhattan, KS,"(40.7896239, -73.9598939)"
Bentley University,"Waltham, MA",4.5,4100,small city,Waltham, MA,"(42.3756401, -71.2358004)"
Knox College,"Galesburg, IL",4.0,1300,small city,Galesburg, IL,"(40.9475652, -90.3712169)"
Oakland University,"Rochester, MI",5.0,17170,small city,Rochester, MI,"(43.157285, -77.615214)"
Union College,"Schenectady, NY",5.0,2150,small city,Schenectady, NY,"(42.8142432, -73.9395687)"
Montana State University-Bozeman,"Bozeman, MT",4.0,16902,small city,Bozeman, MT,"(45.6794293, -111.044047)"
Syracuse University,"Syracuse, NY",4.0,14422,medium city,Syracuse, NY,"(43.0481221, -76.1474244)"
"California State University, Northridge","Northridge, CA",4.5,36000,large urban city,Northridge, CA,"(34.2345615, -118.5369316)"
SUNY Oneonta,"Oneonta, NY, NY",4.0,5514,small town,Oneonta, NY,"(33.9481955, -86.472938)"
Montclair State University,"Montclair, NJ",5.0,21000,small city,Montclair, NJ,"(40.8164458, -74.2210643)"
University of New Haven,"West Haven, CT",4.0,6500,small city,West Haven, CT,"(41.2706527, -72.9470471)"
University of Wisconsin,"Madison, WI",4.5,43193,medium city,Madison, WI,"(43.074761, -89.3837613)"
Lehigh University,"Bethlehem, PA",5.0,6950,small city,Bethlehem, PA,"(-1.45056, -48.4682453)"
George Mason University,"Fairfax, VA",5.0,39150,small city,Fairfax, VA,"(38.8156356, -77.2836849)"
University of Houston,"Houston, TX",4.5,40000,large urban city,Houston, TX,"(29.7589382, -95.3676974)"
William & Mary,"Williamsburg, VA",4.5,8500,small town,Williamsburg, VA,"(37.2708788, -76.7074042)"
College of Staten Island/CUNY,"Staten Island, NY",3.5,10185,large urban city,Staten Island, NY,"(40.5724274, -74.14520777205962)"
Virginia Tech,"Blacksburg, VA",4.0,31000,small city,Blacksburg, VA,"(37.2296566, -80.4136767)"
Washington University in St. Louis,"St. Louis, MO",5.0,14000,medium city,St. Louis, MO,"(38.6280278, -90.1910154)"
Eastern Michigan University,"Ypsilanti, MI",4.5,10500,small city,Ypsilanti, MI,"(42.2410562, -83.613055)"
University of Vermont,"Burlington, VT",5.0,11000,small city,Burlington, VT,"(44.4761601, -73.212906)"
MIT,"Cambridge, MA",4.5,11000,medium city,Cambridge, MA,"(52.2055314, 0.1186637)"
"University of Minnesota, Morris","Morris, MN",4.0,1900,very small town,Morris, MN,"(33.0738633, -94.7392197)"
Kalamazoo College,"Kalamazoo, MI",4.0,1458,medium city,Kalamazoo, MI,"(42.291707, -85.5872286)"
Pace University,"New York, NY",5.0,12835,large urban city,New York, NY,"(40.7127281, -74.0060152)"
"University of Maryland, Baltimore County","Baltimore, MD",3.0,14000,large urban city,Baltimore, MD,"(39.2908816, -76.610759)"
The University of Alabama,"Tuscaloosa, AL",4.5,38000,small city,Tuscaloosa, AL,"(33.2095614, -87.5675258)"
Michigan State University,"East Lansing, MI",4.0,50000,small city,East Lansing, MI,"(42.7320307, -84.4721678)"
The Evergreen State College,"Olympia, WA",3.5,2100,small city,Olympia, WA,"(37.638250299999996, 21.630566024011667)"
Napa Valley College,"Napa, CA",4.0,5000,small city,Napa, CA,"(38.2971367, -122.2855293)"
University of Tennessee,"KNoxville, TN",4.0,26000,medium city,KNoxville, TN,"(35.9603948, -83.9210261)"
University of Missouri-Kansas City,"Kansas City, MO",4.5,16375,large urban city,Kansas City, MO,"(39.100105, -94.5781416)"
Clark University,"Worcester, MA",4.5,2300,medium city,Worcester, MA,"(42.2625621, -71.8018877)"
Roger Williams University,"Bristol, RI",4.0,4000,small town,Bristol, RI,"(51.4538022, -2.5972985)"
University of Colorado at Colorado Springs,"Colorado Springs, CO",4.5,12017,medium city,Colorado Springs, CO,"(38.8339578, -104.825348)"
The Pennsylvania State University,"University Park, PA",5.0,46184,small town,University Park, PA,"(52.9387428, -1.2002956927457427)"
Emporia State University,"Emporia, KS",4.0,6100,small city,Emporia, KS,"(38.4040054, -96.181623)"
"Indiana University, Bloomington","Bloomington, IN",5.0,49695,small city,Bloomington, IN,"(39.1670396, -86.5342881)"
Lawrence University,"Appleton, WI",4.0,1500,small city,Appleton, WI,"(44.2613967, -88.4069744)"
Macalester College,"Saint Paul, MN",5.0,2094,large urban city,Saint Paul, MN,"(44.9497487, -93.0931028)"
University of Missouri - St. Louis,"Saint Louis, MO",4.0,8381,large urban city,Saint Louis, MO,"(38.6280278, -90.1910154)"
San Diego State University,"San Diego, CA",5.0,32000,large urban city,San Diego, CA,"(32.7174202, -117.162772)"
Appalachian State University,"Boone, NC",4.5,20436,small town,Boone, NC,"(42.321246, -88.8235511)"
University of Wisconsin - Superior,"Superior, WI",3.5,2500,small city,Superior, WI,"(46.7207737, -92.1040796)"
Centre College,"Danville, KY",3.0,1450,small town,Danville, KY,"(40.125222, -87.6304614)"
University of Wisconsin - Eau Claire,"Eau Claire, WI",5.0,11000,small city,Eau Claire, WI,"(44.811349, -91.4984941)"
Rhodes College,"Memphis, TN",4.5,2000,large urban city,Memphis, TN,"(35.1460249, -90.0517638)"
"California State University, Chico","Chico, CA",4.0,16251,medium city,Chico, CA,"(39.7284945, -121.8374777)"
Hofstra University,"Hempstead, NY",5.0,9533,medium city,Hempstead, NY,"(33.6949319, -93.6929825)"
